,eps,n,alpha,beta,gamma,phi**2,psi**2
47016,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
1139,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
36668,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
1353,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
26033,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
36291,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
7211,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
45117,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
7696,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
38898,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
45464,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
36272,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
13684,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
38433,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
47027,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
20891,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
36408,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
15259,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
16888,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
1247,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
27208,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
16642,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
14317,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
48734,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
11220,20.524,1.385,0.37,0.48,33.57,0.0,0.0
16730,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
26615,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
26844,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
25300,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
36312,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
24280,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
24448,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
49460,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
21460,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
38129,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
23591,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
13646,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
39895,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
24623,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
13674,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
41918,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
47064,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
5255,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
36015,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
20664,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
23873,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
22556,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
49259,8.331,1.3599,0.0,0.38,33.36,0.0,0.0
24727,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
722,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
9800,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
47586,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
