,eps,n,alpha,beta,gamma,phi**2,psi**2
49780,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
27337,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
41950,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
667,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
39163,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
4826,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
42726,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
35022,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
16853,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
20780,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
12626,20.524,1.385,0.37,0.48,33.57,0.0,0.0
5026,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
26897,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
38713,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
45196,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
45040,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
38867,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
8967,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
35587,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
5672,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
46773,2.2706,1.5011,0.0,0.14,40.62,1.0,0.0
9987,20.524,1.385,0.37,0.48,33.57,0.0,0.0
35478,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
20857,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
19915,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
37856,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
14640,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
39541,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
13496,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
5119,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
7579,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
3442,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
20285,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
33907,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
41541,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
14377,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
5169,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
47824,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
33459,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
36361,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
20359,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
16158,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
8231,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
15143,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
48366,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
48461,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
43984,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
28035,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
20711,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
14658,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
446,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
47705,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
9100,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
34818,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
39347,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
28373,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
49637,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
10489,20.524,1.385,0.37,0.48,33.57,0.0,0.0
42571,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
4587,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
17460,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
27702,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
27409,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
35466,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
25255,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
39660,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
3852,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
48744,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
34960,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
13792,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
15872,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
22128,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
27773,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
16564,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
25089,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
41361,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
47319,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
10524,20.524,1.385,0.37,0.48,33.57,0.0,0.0
10913,20.524,1.385,0.37,0.48,33.57,0.0,0.0
36221,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
47787,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
30607,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
8581,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
9909,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
6582,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
3953,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
9381,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
21030,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
27485,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
38607,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
20128,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
1118,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
34638,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
13445,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
11577,20.524,1.385,0.37,0.48,33.57,0.0,0.0
4994,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
17844,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
10741,20.524,1.385,0.37,0.48,33.57,0.0,0.0
24679,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
15395,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
43624,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
42682,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
3027,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
3884,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
16800,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
22246,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
12674,20.524,1.385,0.37,0.48,33.57,0.0,0.0
26907,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
30336,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
52297,12.51,1.4178,0.37,0.48,37.15,0.0,0.0
13189,20.524,1.385,0.37,0.48,33.57,0.0,0.0
9327,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
38413,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
27835,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
30967,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
22530,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
11129,20.524,1.385,0.37,0.48,33.57,0.0,0.0
22535,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
35596,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
19259,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
53886,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0
49208,8.331,1.3599,0.0,0.38,33.36,0.0,0.0
4236,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
26697,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
32436,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
30922,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
4416,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
7357,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
12501,20.524,1.385,0.37,0.48,33.57,0.0,0.0
48714,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
8349,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
37851,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
45435,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
22540,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
27747,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
39901,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
43380,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
45108,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
9831,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
45511,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
17129,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
2128,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
14504,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
50108,11.321,1.4249,0.37,0.48,38.5,0.0,0.0
20479,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
33942,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
12923,20.524,1.385,0.37,0.48,33.57,0.0,0.0
8016,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
16861,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
20446,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
4168,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
32421,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
1263,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
24373,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
43651,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
14433,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
35549,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
17763,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
23856,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
34242,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
1500,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
33128,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
42361,5.5205,1.3842,0.0,0.45,34.26,0.0,0.0
42830,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
26722,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
11120,20.524,1.385,0.37,0.48,33.57,0.0,0.0
45234,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
15980,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
15794,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
47146,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
21480,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
14079,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
36422,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
37484,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
17421,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
1979,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
42773,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
38329,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
40829,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
45259,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
37231,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
16150,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
27858,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
24342,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
22597,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
45519,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
32859,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
3463,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
27391,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
16476,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
31316,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
15751,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
35271,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
4069,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
50047,11.321,1.4249,0.37,0.48,38.5,0.0,0.0
19280,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
43291,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
23849,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
33983,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
29920,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
44814,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
35521,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
32055,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
14253,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
997,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
46462,4.24,1.3526,0.0,0.41,23.96,0.0,0.0
40082,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
5278,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
25581,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
49225,8.331,1.3599,0.0,0.38,33.36,0.0,0.0
3245,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
30745,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
34110,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
21375,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
9550,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
19201,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
11236,20.524,1.385,0.37,0.48,33.57,0.0,0.0
16341,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
20314,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
34853,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
41243,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
31913,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
10069,20.524,1.385,0.37,0.48,33.57,0.0,0.0
14862,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
37474,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
16681,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
31281,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
27002,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
31047,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
20642,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
20409,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
24900,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
14922,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
10217,20.524,1.385,0.37,0.48,33.57,0.0,0.0
3205,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
23259,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
16986,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
22839,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
17577,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
15249,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
41468,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
21203,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
12729,20.524,1.385,0.37,0.48,33.57,0.0,0.0
35725,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
35690,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
3587,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
5838,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
42644,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
39297,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
49487,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
44746,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
13015,20.524,1.385,0.37,0.48,33.57,0.0,0.0
581,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
4422,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
30889,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
48589,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
41841,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
47139,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
41124,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
34939,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
27424,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
25348,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
26198,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
5542,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
30169,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
17469,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
25236,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
23417,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
35217,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
871,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
6493,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
50126,11.321,1.4249,0.37,0.48,38.5,0.0,0.0
140,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
11971,20.524,1.385,0.37,0.48,33.57,0.0,0.0
4785,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
36010,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
302,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
9792,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
45251,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
27145,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
11916,20.524,1.385,0.37,0.48,33.57,0.0,0.0
32614,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
14579,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
11449,20.524,1.385,0.37,0.48,33.57,0.0,0.0
29967,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
52399,12.51,1.4178,0.37,0.48,37.15,0.0,0.0
42127,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
20761,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
12645,20.524,1.385,0.37,0.48,33.57,0.0,0.0
43767,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
10265,20.524,1.385,0.37,0.48,33.57,0.0,0.0
2793,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
21040,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
8983,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
39313,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
13601,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
47341,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
48754,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
41484,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
42381,5.5205,1.3842,0.0,0.45,34.26,0.0,0.0
33137,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
12609,20.524,1.385,0.37,0.48,33.57,0.0,0.0
16110,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
48629,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
19289,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
44773,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
4637,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
8269,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
32349,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
34665,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
4512,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
18018,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
13964,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
27501,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
21082,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
21183,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
38515,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
25048,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
39854,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
15813,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
25774,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
18190,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
18503,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
5868,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
6001,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
16823,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
12540,20.524,1.385,0.37,0.48,33.57,0.0,0.0
545,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
48508,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
19526,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
6047,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
52826,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
1798,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
1217,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
47171,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
38617,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
30080,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
26640,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
37907,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
25368,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
20155,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
130,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
19142,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
15307,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
34689,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
14551,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
46763,2.2706,1.5011,0.0,0.14,40.62,1.0,0.0
20141,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
41870,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
6321,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
28567,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
8472,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
45050,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
31359,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
33264,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
42307,5.5205,1.3842,0.0,0.45,34.26,0.0,0.0
10633,20.524,1.385,0.37,0.48,33.57,0.0,0.0
43452,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
10191,20.524,1.385,0.37,0.48,33.57,0.0,0.0
47901,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
42504,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
33777,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
26884,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
17413,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
3215,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
30298,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
37631,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
32697,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
3633,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
21515,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
4673,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
32173,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
29087,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
19420,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
9623,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
50018,11.321,1.4249,0.37,0.48,38.5,0.0,0.0
41784,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
44862,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
21532,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
11417,20.524,1.385,0.37,0.48,33.57,0.0,0.0
20220,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
41331,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
12559,20.524,1.385,0.37,0.48,33.57,0.0,0.0
10302,20.524,1.385,0.37,0.48,33.57,0.0,0.0
3008,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
44893,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
20685,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
27396,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
10680,20.524,1.385,0.37,0.48,33.57,0.0,0.0
23832,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
38722,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
19546,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
4078,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
24691,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
9485,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
26546,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
11985,20.524,1.385,0.37,0.48,33.57,0.0,0.0
11812,20.524,1.385,0.37,0.48,33.57,0.0,0.0
25076,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
22848,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
14512,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
44667,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
27235,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
33640,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
16401,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
39803,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
23129,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
38093,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
20385,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
5345,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
32092,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
33897,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
51267,10.125,1.4448,0.1,0.11,45.86,0.0,0.25
9644,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
43116,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
13162,20.524,1.385,0.37,0.48,33.57,0.0,0.0
15771,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
28206,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
9175,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
13389,20.524,1.385,0.37,0.48,33.57,0.0,0.0
49467,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
24539,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
37952,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
918,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
44886,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
13903,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
37786,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
3501,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
10613,20.524,1.385,0.37,0.48,33.57,0.0,0.0
28363,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
25630,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
24547,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
47054,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
10606,20.524,1.385,0.37,0.48,33.57,0.0,0.0
