,SP,SdP,SA,SB
48629,0.616,0.0,0.0,0.056
19289,0.651,0.907,0.0,0.475
44773,0.777,0.91,0.717,0.534
4637,0.633,0.783,0.4,0.658
8269,0.633,0.783,0.4,0.658
32349,0.782,0.284,0.0,0.128
34665,0.657,0.684,0.311,0.828
4512,0.633,0.783,0.4,0.658
18018,0.651,0.907,0.0,0.475
13964,0.674,0.655,0.341,0.809
27501,0.633,0.808,0.283,0.83
21082,0.656,0.603,0.0,0.542
21183,0.656,0.603,0.0,0.542
38515,0.737,0.312,0.0,0.444
25048,0.645,0.974,0.044,0.286
39854,0.681,0.997,1.062,0.025
15813,0.674,0.655,0.341,0.809
25774,0.645,0.974,0.044,0.286
18190,0.651,0.907,0.0,0.475
18503,0.651,0.907,0.0,0.475
5868,0.633,0.783,0.4,0.658
6001,0.633,0.783,0.4,0.658
16823,0.651,0.907,0.0,0.475
12540,0.658,0.748,0.367,0.782
545,0.608,0.904,0.605,0.545
48508,0.616,0.0,0.0,0.056
19526,0.651,0.907,0.0,0.475
6047,0.633,0.783,0.4,0.658
52826,0.782,0.284,0.0,0.128
1798,0.608,0.904,0.605,0.545
1217,0.608,0.904,0.605,0.545
47171,0.645,0.637,0.0,0.527
38617,0.737,0.312,0.0,0.444
30080,0.633,0.808,0.283,0.83
26640,0.645,0.974,0.044,0.286
37907,0.737,0.312,0.0,0.444
25368,0.645,0.974,0.044,0.286
20155,0.656,0.603,0.0,0.542
130,0.608,0.904,0.605,0.545
19142,0.651,0.907,0.0,0.475
15307,0.674,0.655,0.341,0.809
34689,0.657,0.684,0.311,0.828
14551,0.674,0.655,0.341,0.809
46763,0.793,0.27,0.0,0.124
20141,0.656,0.603,0.0,0.542
41870,0.681,0.997,1.062,0.025
6321,0.633,0.783,0.4,0.658
28567,0.633,0.808,0.283,0.83
8472,0.633,0.783,0.4,0.658
45050,0.777,0.91,0.717,0.534
31359,0.713,0.454,0.299,0.923
33264,0.782,0.284,0.0,0.128
42307,0.67,0.559,0.0,0.548
10633,0.658,0.748,0.367,0.782
43452,0.759,0.977,0.031,0.613
10191,0.658,0.748,0.367,0.782
47901,0.674,0.535,0.0,0.525
42504,0.759,0.977,0.031,0.613
33777,0.657,0.684,0.311,0.828
26884,0.645,0.974,0.044,0.286
17413,0.651,0.907,0.0,0.475
3215,0.608,0.904,0.605,0.545
30298,0.633,0.808,0.283,0.83
37631,0.656,0.706,0.221,0.888
32697,0.782,0.284,0.0,0.128
3633,0.608,0.904,0.605,0.545
21515,0.656,0.603,0.0,0.542
4673,0.633,0.783,0.4,0.658
32173,0.782,0.284,0.0,0.128
29087,0.633,0.808,0.283,0.83
19420,0.651,0.907,0.0,0.475
9623,0.633,0.783,0.4,0.658
50018,0.706,0.499,0.302,0.912
41784,0.681,0.997,1.062,0.025
44862,0.777,0.91,0.717,0.534
21532,0.656,0.603,0.0,0.542
11417,0.658,0.748,0.367,0.782
20220,0.656,0.603,0.0,0.542
41331,0.681,0.997,1.062,0.025
12559,0.658,0.748,0.367,0.782
10302,0.658,0.748,0.367,0.782
3008,0.608,0.904,0.605,0.545
44893,0.777,0.91,0.717,0.534
20685,0.656,0.603,0.0,0.542
27396,0.633,0.808,0.283,0.83
10680,0.658,0.748,0.367,0.782
23832,0.761,0.769,0.04,0.178
38722,0.737,0.312,0.0,0.444
19546,0.651,0.907,0.0,0.475
4078,0.608,0.904,0.605,0.545
24691,0.645,0.974,0.044,0.286
9485,0.633,0.783,0.4,0.658
26546,0.645,0.974,0.044,0.286
11985,0.658,0.748,0.367,0.782
11812,0.658,0.748,0.367,0.782
25076,0.645,0.974,0.044,0.286
22848,0.656,0.603,0.0,0.542
14512,0.674,0.655,0.341,0.809
44667,0.777,0.91,0.717,0.534
27235,0.633,0.808,0.283,0.83
33640,0.657,0.684,0.311,0.828
16401,0.674,0.655,0.341,0.809
39803,0.681,0.997,1.062,0.025
23129,0.656,0.603,0.0,0.542
38093,0.737,0.312,0.0,0.444
20385,0.656,0.603,0.0,0.542
5345,0.633,0.783,0.4,0.658
32092,0.782,0.284,0.0,0.128
33897,0.657,0.684,0.311,0.828
51267,0.771,0.742,0.03,0.126
9644,0.633,0.783,0.4,0.658
43116,0.759,0.977,0.031,0.613
13162,0.658,0.748,0.367,0.782
15771,0.674,0.655,0.341,0.809
28206,0.633,0.808,0.283,0.83
9175,0.633,0.783,0.4,0.658
13389,0.658,0.748,0.367,0.782
49467,0.783,0.614,0.047,0.071
24539,0.645,0.974,0.044,0.286
37952,0.737,0.312,0.0,0.444
918,0.608,0.904,0.605,0.545
44886,0.777,0.91,0.717,0.534
13903,0.674,0.655,0.341,0.809
37786,0.737,0.312,0.0,0.444
3501,0.608,0.904,0.605,0.545
10613,0.658,0.748,0.367,0.782
28363,0.633,0.808,0.283,0.83
25630,0.645,0.974,0.044,0.286
24547,0.645,0.974,0.044,0.286
47054,0.645,0.637,0.0,0.527
10606,0.658,0.748,0.367,0.782
29892,0.633,0.808,0.283,0.83
21251,0.656,0.603,0.0,0.542
14913,0.674,0.655,0.341,0.809
43024,0.759,0.977,0.031,0.613
25218,0.645,0.974,0.044,0.286
36712,0.669,0.872,0.0,0.52
46983,0.645,0.637,0.0,0.527
24221,0.645,0.974,0.044,0.286
25611,0.645,0.974,0.044,0.286
37287,0.656,0.706,0.221,0.888
39260,0.681,0.997,1.062,0.025
37335,0.656,0.706,0.221,0.888
39267,0.681,0.997,1.062,0.025
1296,0.608,0.904,0.605,0.545
14622,0.674,0.655,0.341,0.809
28648,0.633,0.808,0.283,0.83
17245,0.651,0.907,0.0,0.475
48359,0.616,0.0,0.0,0.056
36702,0.669,0.872,0.0,0.52
3087,0.608,0.904,0.605,0.545
38969,0.737,0.312,0.0,0.444
33234,0.782,0.284,0.0,0.128
41753,0.681,0.997,1.062,0.025
1043,0.608,0.904,0.605,0.545
23505,0.656,0.603,0.0,0.542
10481,0.658,0.748,0.367,0.782
5453,0.633,0.783,0.4,0.658
44990,0.777,0.91,0.717,0.534
36341,0.669,0.872,0.0,0.52
4800,0.633,0.783,0.4,0.658
45205,0.683,0.0,0.0,0.073
30914,0.633,0.808,0.283,0.83
40926,0.681,0.997,1.062,0.025
45780,0.683,0.0,0.0,0.073
1166,0.608,0.904,0.605,0.545
13946,0.674,0.655,0.341,0.809
17188,0.651,0.907,0.0,0.475
23839,0.761,0.769,0.04,0.178
15160,0.674,0.655,0.341,0.809
8182,0.633,0.783,0.4,0.658
9035,0.633,0.783,0.4,0.658
24825,0.645,0.974,0.044,0.286
13526,0.674,0.655,0.341,0.809
10244,0.658,0.748,0.367,0.782
1602,0.608,0.904,0.605,0.545
47415,0.645,0.637,0.0,0.527
30964,0.633,0.808,0.283,0.83
1209,0.608,0.904,0.605,0.545
2341,0.608,0.904,0.605,0.545
42947,0.759,0.977,0.031,0.613
12765,0.658,0.748,0.367,0.782
28558,0.633,0.808,0.283,0.83
19959,0.651,0.907,0.0,0.475
8379,0.633,0.783,0.4,0.658
20183,0.656,0.603,0.0,0.542
19868,0.651,0.907,0.0,0.475
28639,0.633,0.808,0.283,0.83
23798,0.656,0.603,0.0,0.542
8704,0.633,0.783,0.4,0.658
45342,0.683,0.0,0.0,0.073
9440,0.633,0.783,0.4,0.658
13802,0.674,0.655,0.341,0.809
13004,0.658,0.748,0.367,0.782
4397,0.608,0.904,0.605,0.545
46725,0.793,0.27,0.0,0.124
42869,0.759,0.977,0.031,0.613
27367,0.633,0.808,0.283,0.83
29842,0.633,0.808,0.283,0.83
464,0.608,0.904,0.605,0.545
11046,0.658,0.748,0.367,0.782
34200,0.657,0.684,0.311,0.828
1954,0.608,0.904,0.605,0.545
22906,0.656,0.603,0.0,0.542
8532,0.633,0.783,0.4,0.658
12378,0.658,0.748,0.367,0.782
28296,0.633,0.808,0.283,0.83
41894,0.681,0.997,1.062,0.025
19249,0.651,0.907,0.0,0.475
47715,0.674,0.535,0.0,0.525
40159,0.681,0.997,1.062,0.025
42637,0.759,0.977,0.031,0.613
32525,0.782,0.284,0.0,0.128
37277,0.656,0.706,0.221,0.888
24085,0.761,0.769,0.04,0.178
20542,0.656,0.603,0.0,0.542
41926,0.681,0.997,1.062,0.025
43817,0.759,0.977,0.031,0.613
39272,0.681,0.997,1.062,0.025
38587,0.737,0.312,0.0,0.444
21154,0.656,0.603,0.0,0.542
38592,0.737,0.312,0.0,0.444
8479,0.633,0.783,0.4,0.658
47035,0.645,0.637,0.0,0.527
22868,0.656,0.603,0.0,0.542
20635,0.656,0.603,0.0,0.542
4021,0.608,0.904,0.605,0.545
3269,0.608,0.904,0.605,0.545
32038,0.782,0.284,0.0,0.128
11589,0.658,0.748,0.367,0.782
307,0.608,0.904,0.605,0.545
38622,0.737,0.312,0.0,0.444
47422,0.645,0.637,0.0,0.527
17168,0.651,0.907,0.0,0.475
44627,0.777,0.91,0.717,0.534
3434,0.608,0.904,0.605,0.545
25309,0.645,0.974,0.044,0.286
25291,0.645,0.974,0.044,0.286
39777,0.681,0.997,1.062,0.025
19212,0.651,0.907,0.0,0.475
19178,0.651,0.907,0.0,0.475
29910,0.633,0.808,0.283,0.83
31381,0.713,0.454,0.299,0.923
48598,0.616,0.0,0.0,0.056
24747,0.645,0.974,0.044,0.286
12348,0.658,0.748,0.367,0.782
12396,0.658,0.748,0.367,0.782
46993,0.645,0.637,0.0,0.527
14193,0.674,0.655,0.341,0.809
25166,0.645,0.974,0.044,0.286
43211,0.759,0.977,0.031,0.613
41311,0.681,0.997,1.062,0.025
13052,0.658,0.748,0.367,0.782
21192,0.656,0.603,0.0,0.542
18755,0.651,0.907,0.0,0.475
19298,0.651,0.907,0.0,0.475
31307,0.713,0.454,0.299,0.923
47807,0.674,0.535,0.0,0.525
48196,0.635,0.0,0.0,0.083
25377,0.645,0.974,0.044,0.286
33932,0.657,0.684,0.311,0.828
27153,0.633,0.808,0.283,0.83
38692,0.737,0.312,0.0,0.444
28217,0.633,0.808,0.283,0.83
45187,0.683,0.0,0.0,0.073
28234,0.633,0.808,0.283,0.83
36305,0.669,0.872,0.0,0.52
26373,0.645,0.974,0.044,0.286
12240,0.658,0.748,0.367,0.782
4281,0.608,0.904,0.605,0.545
30207,0.633,0.808,0.283,0.83
8647,0.633,0.783,0.4,0.658
34714,0.657,0.684,0.311,0.828
35765,0.714,0.634,0.0,0.591
35169,0.687,0.587,0.319,0.86
31985,0.782,0.284,0.0,0.128
5691,0.633,0.783,0.4,0.658
3057,0.608,0.904,0.605,0.545
36190,0.714,0.634,0.0,0.591
5877,0.633,0.783,0.4,0.658
16740,0.651,0.907,0.0,0.475
48811,0.616,0.0,0.0,0.056
35101,0.687,0.587,0.319,0.86
37445,0.656,0.706,0.221,0.888
45859,0.683,0.0,0.0,0.073
47778,0.674,0.535,0.0,0.525
20402,0.656,0.603,0.0,0.542
15917,0.674,0.655,0.341,0.809
43109,0.759,0.977,0.031,0.613
37917,0.737,0.312,0.0,0.444
32110,0.782,0.284,0.0,0.128
11477,0.658,0.748,0.367,0.782
31298,0.713,0.454,0.299,0.923
646,0.608,0.904,0.605,0.545
495,0.608,0.904,0.605,0.545
31838,0.766,0.745,0.0,0.482
32598,0.782,0.284,0.0,0.128
473,0.608,0.904,0.605,0.545
28082,0.633,0.808,0.283,0.83
26250,0.645,0.974,0.044,0.286
8793,0.633,0.783,0.4,0.658
22876,0.656,0.603,0.0,0.542
183,0.608,0.904,0.605,0.545
10537,0.658,0.748,0.367,0.782
7559,0.633,0.783,0.4,0.658
8192,0.633,0.783,0.4,0.658
8319,0.633,0.783,0.4,0.658
20276,0.656,0.603,0.0,0.542
42664,0.759,0.977,0.031,0.613
3961,0.608,0.904,0.605,0.545
11569,0.658,0.748,0.367,0.782
19116,0.651,0.907,0.0,0.475
12455,0.658,0.748,0.367,0.782
38765,0.737,0.312,0.0,0.444
5820,0.633,0.783,0.4,0.658
6526,0.633,0.783,0.4,0.658
15893,0.674,0.655,0.341,0.809
38875,0.737,0.312,0.0,0.444
7336,0.633,0.783,0.4,0.658
50118,0.706,0.499,0.302,0.912
8397,0.633,0.783,0.4,0.658
21509,0.656,0.603,0.0,0.542
14763,0.674,0.655,0.341,0.809
41341,0.681,0.997,1.062,0.025
14959,0.674,0.655,0.341,0.809
5072,0.633,0.783,0.4,0.658
19774,0.651,0.907,0.0,0.475
42280,0.67,0.559,0.0,0.548
20624,0.656,0.603,0.0,0.542
48446,0.616,0.0,0.0,0.056
10976,0.658,0.748,0.367,0.782
47509,0.645,0.637,0.0,0.527
1364,0.608,0.904,0.605,0.545
16090,0.674,0.655,0.341,0.809
23058,0.656,0.603,0.0,0.542
17043,0.651,0.907,0.0,0.475
36020,0.714,0.634,0.0,0.591
13331,0.658,0.748,0.367,0.782
34727,0.657,0.684,0.311,0.828
14094,0.674,0.655,0.341,0.809
27382,0.633,0.808,0.283,0.83
6205,0.633,0.783,0.4,0.658
33148,0.782,0.284,0.0,0.128
3321,0.608,0.904,0.605,0.545
6133,0.633,0.783,0.4,0.658
74,0.608,0.904,0.605,0.545
23965,0.761,0.769,0.04,0.178
49667,0.783,0.614,0.047,0.071
47688,0.674,0.535,0.0,0.525
10766,0.658,0.748,0.367,0.782
47153,0.645,0.637,0.0,0.527
2989,0.608,0.904,0.605,0.545
5588,0.633,0.783,0.4,0.658
281,0.608,0.904,0.605,0.545
28325,0.633,0.808,0.283,0.83
24483,0.645,0.974,0.044,0.286
10436,0.658,0.748,0.367,0.782
34863,0.687,0.587,0.319,0.86
47350,0.645,0.637,0.0,0.527
4211,0.608,0.904,0.605,0.545
19631,0.651,0.907,0.0,0.475
13077,0.658,0.748,0.367,0.782
28797,0.633,0.808,0.283,0.83
31201,0.713,0.454,0.299,0.923
13224,0.658,0.748,0.367,0.782
20321,0.656,0.603,0.0,0.542
37871,0.737,0.312,0.0,0.444
4466,0.633,0.783,0.4,0.658
33950,0.657,0.684,0.311,0.828
14953,0.674,0.655,0.341,0.809
7480,0.633,0.783,0.4,0.658
24581,0.645,0.974,0.044,0.286
20863,0.656,0.603,0.0,0.542
41566,0.681,0.997,1.062,0.025
6010,0.633,0.783,0.4,0.658
20148,0.656,0.603,0.0,0.542
5198,0.633,0.783,0.4,0.658
242,0.608,0.904,0.605,0.545
40995,0.681,0.997,1.062,0.025
15216,0.674,0.655,0.341,0.809
21894,0.656,0.603,0.0,0.542
24663,0.645,0.974,0.044,0.286
23878,0.761,0.769,0.04,0.178
35756,0.714,0.634,0.0,0.591
6305,0.633,0.783,0.4,0.658
14443,0.674,0.655,0.341,0.809
49959,0.783,0.614,0.047,0.071
32249,0.782,0.284,0.0,0.128
39082,0.681,0.997,1.062,0.025
12578,0.658,0.748,0.367,0.782
33648,0.657,0.684,0.311,0.828
9169,0.633,0.783,0.4,0.658
10317,0.658,0.748,0.367,0.782
9743,0.633,0.783,0.4,0.658
30288,0.633,0.808,0.283,0.83
23825,0.761,0.769,0.04,0.178
41100,0.681,0.997,1.062,0.025
21222,0.656,0.603,0.0,0.542
10673,0.658,0.748,0.367,0.782
21652,0.656,0.603,0.0,0.542
42244,0.67,0.559,0.0,0.548
14543,0.674,0.655,0.341,0.809
36159,0.714,0.634,0.0,0.591
32382,0.782,0.284,0.0,0.128
33829,0.657,0.684,0.311,0.828
16790,0.651,0.907,0.0,0.475
1391,0.608,0.904,0.605,0.545
26064,0.645,0.974,0.044,0.286
27046,0.633,0.808,0.283,0.83
32307,0.782,0.284,0.0,0.128
28023,0.633,0.808,0.283,0.83
45758,0.683,0.0,0.0,0.073
38493,0.737,0.312,0.0,0.444
37725,0.656,0.706,0.221,0.888
10132,0.658,0.748,0.367,0.782
42762,0.759,0.977,0.031,0.613
35359,0.687,0.587,0.319,0.86
6111,0.633,0.783,0.4,0.658
45352,0.683,0.0,0.0,0.073
3519,0.608,0.904,0.605,0.545
34409,0.657,0.684,0.311,0.828
33665,0.657,0.684,0.311,0.828
14243,0.674,0.655,0.341,0.809
11617,0.658,0.748,0.367,0.782
39385,0.681,0.997,1.062,0.025
39135,0.681,0.997,1.062,0.025
2297,0.608,0.904,0.605,0.545
36582,0.669,0.872,0.0,0.52
23899,0.761,0.769,0.04,0.178
49180,0.648,0.707,0.0,0.477
40867,0.681,0.997,1.062,0.025
47009,0.645,0.637,0.0,0.527
36264,0.669,0.872,0.0,0.52
27560,0.633,0.808,0.283,0.83
30991,0.633,0.808,0.283,0.83
7676,0.633,0.783,0.4,0.658
36471,0.669,0.872,0.0,0.52
17008,0.651,0.907,0.0,0.475
39252,0.681,0.997,1.062,0.025
8821,0.633,0.783,0.4,0.658
12656,0.658,0.748,0.367,0.782
17716,0.651,0.907,0.0,0.475
27578,0.633,0.808,0.283,0.83
25548,0.645,0.974,0.044,0.286
26344,0.645,0.974,0.044,0.286
21060,0.656,0.603,0.0,0.542
11583,0.658,0.748,0.367,0.782
8840,0.633,0.783,0.4,0.658
48554,0.616,0.0,0.0,0.056
23000,0.656,0.603,0.0,0.542
30647,0.633,0.808,0.283,0.83
48724,0.616,0.0,0.0,0.056
34074,0.657,0.684,0.311,0.828
46487,0.617,0.385,0.0,0.562
18769,0.651,0.907,0.0,0.475
36462,0.669,0.872,0.0,0.52
9718,0.633,0.783,0.4,0.658
28334,0.633,0.808,0.283,0.83
17697,0.651,0.907,0.0,0.475
2806,0.608,0.904,0.605,0.545
27603,0.633,0.808,0.283,0.83
4493,0.633,0.783,0.4,0.658
19944,0.651,0.907,0.0,0.475
25398,0.645,0.974,0.044,0.286
47636,0.645,0.637,0.0,0.527
28142,0.633,0.808,0.283,0.83
6419,0.633,0.783,0.4,0.658
3540,0.608,0.904,0.605,0.545
27401,0.633,0.808,0.283,0.83
42752,0.759,0.977,0.031,0.613
10118,0.658,0.748,0.367,0.782
48830,0.616,0.0,0.0,0.056
1469,0.608,0.904,0.605,0.545
26190,0.645,0.974,0.044,0.286
9497,0.633,0.783,0.4,0.658
4841,0.633,0.783,0.4,0.658
11605,0.658,0.748,0.367,0.782
20992,0.656,0.603,0.0,0.542
23085,0.656,0.603,0.0,0.542
35507,0.714,0.634,0.0,0.591
25783,0.645,0.974,0.044,0.286
14877,0.674,0.655,0.341,0.809
14843,0.674,0.655,0.341,0.809
15222,0.674,0.655,0.341,0.809
45128,0.777,0.91,0.717,0.534
24590,0.645,0.974,0.044,0.286
16524,0.651,0.907,0.0,0.475
39171,0.681,0.997,1.062,0.025
3621,0.608,0.904,0.605,0.545
34495,0.657,0.684,0.311,0.828
32288,0.782,0.284,0.0,0.128
49171,0.648,0.707,0.0,0.477
9662,0.633,0.783,0.4,0.658
21639,0.656,0.603,0.0,0.542
22125,0.656,0.603,0.0,0.542
32922,0.782,0.284,0.0,0.128
43881,0.759,0.977,0.031,0.613
18545,0.651,0.907,0.0,0.475
27270,0.633,0.808,0.283,0.83
161,0.608,0.904,0.605,0.545
41476,0.681,0.997,1.062,0.025
43974,0.759,0.977,0.031,0.613
43872,0.759,0.977,0.031,0.613
6413,0.633,0.783,0.4,0.658
48398,0.616,0.0,0.0,0.056
36084,0.714,0.634,0.0,0.591
11467,0.658,0.748,0.367,0.782
45286,0.683,0.0,0.0,0.073
11398,0.658,0.748,0.367,0.782
15174,0.674,0.655,0.341,0.809
14365,0.674,0.655,0.341,0.809
38225,0.737,0.312,0.0,0.444
17392,0.651,0.907,0.0,0.475
32373,0.782,0.284,0.0,0.128
34294,0.657,0.684,0.311,0.828
34921,0.687,0.587,0.319,0.86
39724,0.681,0.997,1.062,0.025
31557,0.766,0.745,0.0,0.482
27173,0.633,0.808,0.283,0.83
42563,0.759,0.977,0.031,0.613
16394,0.674,0.655,0.341,0.809
4574,0.633,0.783,0.4,0.658
3549,0.608,0.904,0.605,0.545
24633,0.645,0.974,0.044,0.286
20237,0.656,0.603,0.0,0.542
41794,0.681,0.997,1.062,0.025
35243,0.687,0.587,0.319,0.86
13956,0.674,0.655,0.341,0.809
3067,0.608,0.904,0.605,0.545
42134,0.681,0.997,1.062,0.025
20306,0.656,0.603,0.0,0.542
24878,0.645,0.974,0.044,0.286
12389,0.658,0.748,0.367,0.782
17744,0.651,0.907,0.0,0.475
21499,0.656,0.603,0.0,0.542
9700,0.633,0.783,0.4,0.658
47090,0.645,0.637,0.0,0.527
43320,0.759,0.977,0.031,0.613
34415,0.657,0.684,0.311,0.828
37497,0.656,0.706,0.221,0.888
9112,0.633,0.783,0.4,0.658
32317,0.782,0.284,0.0,0.128
17967,0.651,0.907,0.0,0.475
48035,0.861,0.788,0.409,0.461
43640,0.759,0.977,0.031,0.613
2386,0.608,0.904,0.605,0.545
37398,0.656,0.706,0.221,0.888
37462,0.656,0.706,0.221,0.888
25244,0.645,0.974,0.044,0.286
39833,0.681,0.997,1.062,0.025
11377,0.658,0.748,0.367,0.782
42552,0.759,0.977,0.031,0.613
7574,0.633,0.783,0.4,0.658
3415,0.608,0.904,0.605,0.545
27764,0.633,0.808,0.283,0.83
35311,0.687,0.587,0.319,0.86
23842,0.761,0.769,0.04,0.178
42891,0.759,0.977,0.031,0.613
25176,0.645,0.974,0.044,0.286
24204,0.761,0.769,0.04,0.178
16633,0.651,0.907,0.0,0.475
13868,0.674,0.655,0.341,0.809
42351,0.67,0.559,0.0,0.548
10420,0.658,0.748,0.367,0.782
19876,0.651,0.907,0.0,0.475
21590,0.656,0.603,0.0,0.542
21276,0.656,0.603,0.0,0.542
47969,0.674,0.535,0.0,0.525
36911,0.669,0.872,0.0,0.52
3184,0.608,0.904,0.605,0.545
24755,0.645,0.974,0.044,0.286
30035,0.633,0.808,0.283,0.83
21839,0.656,0.603,0.0,0.542
37842,0.737,0.312,0.0,0.444
28936,0.633,0.808,0.283,0.83
4156,0.608,0.904,0.605,0.545
36146,0.714,0.634,0.0,0.591
36366,0.669,0.872,0.0,0.52
30736,0.633,0.808,0.283,0.83
48453,0.616,0.0,0.0,0.056
41989,0.681,0.997,1.062,0.025
14132,0.674,0.655,0.341,0.809
38952,0.737,0.312,0.0,0.444
47724,0.674,0.535,0.0,0.525
34365,0.657,0.684,0.311,0.828
83,0.608,0.904,0.605,0.545
30622,0.633,0.808,0.283,0.83
46650,0.768,0.0,0.0,0.044
3194,0.608,0.904,0.605,0.545
31216,0.713,0.454,0.299,0.923
14822,0.674,0.655,0.341,0.809
27937,0.633,0.808,0.283,0.83
40892,0.681,0.997,1.062,0.025
45386,0.683,0.0,0.0,0.073
35379,0.687,0.587,0.319,0.86
37177,0.656,0.706,0.221,0.888
43071,0.759,0.977,0.031,0.613
8385,0.633,0.783,0.4,0.658
23076,0.656,0.603,0.0,0.542
45664,0.683,0.0,0.0,0.073
7569,0.633,0.783,0.4,0.658
17507,0.651,0.907,0.0,0.475
16369,0.674,0.655,0.341,0.809
18358,0.651,0.907,0.0,0.475
32277,0.782,0.284,0.0,0.128
41092,0.681,0.997,1.062,0.025
28350,0.633,0.808,0.283,0.83
230,0.608,0.904,0.605,0.545
48015,0.674,0.535,0.0,0.525
1574,0.608,0.904,0.605,0.545
27346,0.633,0.808,0.283,0.83
41035,0.681,0.997,1.062,0.025
44686,0.777,0.91,0.717,0.534
28112,0.633,0.808,0.283,0.83
4503,0.633,0.783,0.4,0.658
20203,0.656,0.603,0.0,0.542
17726,0.651,0.907,0.0,0.475
35696,0.714,0.634,0.0,0.591
27511,0.633,0.808,0.283,0.83
1275,0.608,0.904,0.605,0.545
21315,0.656,0.603,0.0,0.542
1345,0.608,0.904,0.605,0.545
14061,0.674,0.655,0.341,0.809
48634,0.616,0.0,0.0,0.056
35538,0.714,0.634,0.0,0.591
3913,0.608,0.904,0.605,0.545
8444,0.633,0.783,0.4,0.658
42918,0.759,0.977,0.031,0.613
29376,0.633,0.808,0.283,0.83
43777,0.759,0.977,0.031,0.613
1238,0.608,0.904,0.605,0.545
4595,0.633,0.783,0.4,0.658
8803,0.633,0.783,0.4,0.658
41108,0.681,0.997,1.062,0.025
52995,0.82,0.543,0.084,0.299
43122,0.759,0.977,0.031,0.613
31808,0.766,0.745,0.0,0.482
43276,0.759,0.977,0.031,0.613
29394,0.633,0.808,0.283,0.83
39245,0.681,0.997,1.062,0.025
37688,0.656,0.706,0.221,0.888
36152,0.714,0.634,0.0,0.591
43606,0.759,0.977,0.031,0.613
8435,0.633,0.783,0.4,0.658
10362,0.658,0.748,0.367,0.782
17148,0.651,0.907,0.0,0.475
21937,0.656,0.603,0.0,0.542
28586,0.633,0.808,0.283,0.83
12684,0.658,0.748,0.367,0.782
43141,0.759,0.977,0.031,0.613
15183,0.674,0.655,0.341,0.809
18091,0.651,0.907,0.0,0.475
37824,0.737,0.312,0.0,0.444
20227,0.656,0.603,0.0,0.542
15804,0.674,0.655,0.341,0.809
905,0.608,0.904,0.605,0.545
40861,0.681,0.997,1.062,0.025
34395,0.657,0.684,0.311,0.828
17517,0.651,0.907,0.0,0.475
37879,0.737,0.312,0.0,0.444
4906,0.633,0.783,0.4,0.658
33770,0.657,0.684,0.311,0.828
24457,0.645,0.974,0.044,0.286
48840,0.616,0.0,0.0,0.056
34909,0.687,0.587,0.319,0.86
51412,0.771,0.742,0.03,0.126
27292,0.633,0.808,0.283,0.83
17357,0.651,0.907,0.0,0.475
3928,0.608,0.904,0.605,0.545
31932,0.782,0.284,0.0,0.128
11304,0.658,0.748,0.367,0.782
13536,0.674,0.655,0.341,0.809
13783,0.674,0.655,0.341,0.809
31367,0.713,0.454,0.299,0.923
28612,0.633,0.808,0.283,0.83
38911,0.737,0.312,0.0,0.444
691,0.608,0.904,0.605,0.545
1585,0.608,0.904,0.605,0.545
485,0.608,0.904,0.605,0.545
341,0.608,0.904,0.605,0.545
35321,0.687,0.587,0.319,0.86
13810,0.674,0.655,0.341,0.809
617,0.608,0.904,0.605,0.545
48901,0.616,0.0,0.0,0.056
39152,0.681,0.997,1.062,0.025
48379,0.616,0.0,0.0,0.056
8918,0.633,0.783,0.4,0.658
4582,0.633,0.783,0.4,0.658
5215,0.633,0.783,0.4,0.658
20028,0.656,0.603,0.0,0.542
37968,0.737,0.312,0.0,0.444
1866,0.608,0.904,0.605,0.545
22859,0.656,0.603,0.0,0.542
28150,0.633,0.808,0.283,0.83
3666,0.608,0.904,0.605,0.545
10464,0.658,0.748,0.367,0.782
21411,0.656,0.603,0.0,0.542
38745,0.737,0.312,0.0,0.444
15863,0.674,0.655,0.341,0.809
26819,0.645,0.974,0.044,0.286
36502,0.669,0.872,0.0,0.52
47880,0.674,0.535,0.0,0.525
6071,0.633,0.783,0.4,0.658
53673,0.65,0.0,0.0,0.079
37958,0.737,0.312,0.0,0.444
19220,0.651,0.907,0.0,0.475
9632,0.633,0.783,0.4,0.658
39306,0.681,0.997,1.062,0.025
26531,0.645,0.974,0.044,0.286
34043,0.657,0.684,0.311,0.828
20555,0.656,0.603,0.0,0.542
1972,0.608,0.904,0.605,0.545
17753,0.651,0.907,0.0,0.475
50068,0.706,0.499,0.302,0.912
37007,0.669,0.872,0.0,0.52
40120,0.681,0.997,1.062,0.025
7160,0.633,0.783,0.4,0.658
20824,0.656,0.603,0.0,0.542
28781,0.633,0.808,0.283,0.83
8907,0.633,0.783,0.4,0.658
24778,0.645,0.974,0.044,0.286
39421,0.681,0.997,1.062,0.025
7321,0.633,0.783,0.4,0.658
4764,0.633,0.783,0.4,0.658
13246,0.658,0.748,0.367,0.782
46514,0.768,0.0,0.0,0.044
22527,0.656,0.603,0.0,0.542
17441,0.651,0.907,0.0,0.475
14886,0.674,0.655,0.341,0.809
23027,0.656,0.603,0.0,0.542
1227,0.608,0.904,0.605,0.545
15490,0.674,0.655,0.341,0.809
15900,0.674,0.655,0.341,0.809
20527,0.656,0.603,0.0,0.542
34254,0.657,0.684,0.311,0.828
48835,0.616,0.0,0.0,0.056
27931,0.633,0.808,0.283,0.83
