no.,formula,name,SP,SdP,SA,SB,smiles
76,C5H12O,butyl methyl ether,0.647,0.345,0.0,0.505,CCCCOC
77,C5H12O,tert-butyl methyl ether,0.622,0.422,0.0,0.567,COC(C)(C)C
78,C5H12O,1-pentanol,0.687,0.587,0.319,0.86,CCCCCO
79,C5H12O,2-pentanol,0.667,0.665,0.204,0.916,CCCC(C)O
80,C5H13N,"1,1,3,3-tetramethylguanidine",0.78,0.75,0.0,1.0,CN(C)C(=N)N(C)C
81,C5H13N2O,tetramethylurea,0.778,0.878,0.0,0.624,CN(C)C(=O)N(C)C
82,C6F6,hexafluorobenzene,0.623,0.252,0.0,0.119,Fc1c(F)c(F)c(F)c(F)c1F
83,C6F14,perfluorohexane,0.339,0.0,0.0,0.057,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
84,C6H4Cl2,"1,2-dichlorobenzene",0.869,0.676,0.033,0.144,Clc1ccccc1Cl
85,C6H5Br,bromobenzene,0.875,0.497,0.0,0.192,Brc1ccccc1
86,C6H5Cl,chlorobenzene,0.833,0.537,0.0,0.182,Clc1ccccc1
87,C6H5F,fluorobenzene,0.761,0.511,0.0,0.113,Fc1ccccc1
88,C6H5NO2,nitrobenzene,0.891,0.873,0.056,0.24,[O-][N+](=O)c1ccccc1
89,C6H6,benzene,0.793,0.27,0.0,0.124,c1ccccc1
90,C6H7N,aniline,0.924,0.956,0.132,0.264,Nc1ccccc1
91,C6H9NO,"N,N-dimethylacetamide",0.763,0.987,0.028,0.65,CN(C)C(C)=O
92,C6H7N,cyclohexanone,0.766,0.745,0.0,0.482,O=C1CCCCC1
93,C6H12,cyclohexane,0.683,0.0,0.0,0.073,C1CCCCC1
94,C6H12O2,butyl acetate,0.674,0.535,0.0,0.525,CCCCOC(C)=O
95,C6H12O2,hexanoic acid,0.698,0.245,0.465,0.304,CCCCCC(O)=O
96,C6H13N,1-methylpiperidine,0.708,0.116,0.0,0.836,CN1CCCCC1
97,C6H13NO,"N,N-diethylacetamide",0.748,0.918,0.0,0.66,CCN(CC)C(C)=O
98,C6H14,hexane,0.616,0.0,0.0,0.056,CCCCCC
99,C6H14,3-methylpentane,0.62,0.0,0.0,0.05,CCC(C)CC
100,C6H14N2,"1,4-dimethylpiperazine",0.73,0.211,0.0,0.832,CN1CCN(C)CC1
