Solvent,eps,n,alpha,beta,gamma,phi**2,psi**2,smiles
benzaldehyde,18.22,1.5463,0.0,0.39,54.69,0.734449,0.0,O=Cc1ccccc1
benzene,2.2706,1.5011,0.0,0.14,40.62,1.0,0.0,c1ccccc1
benzonitrile,25.592,1.5289,0.0,0.33,55.83,0.5625,0.0,N#Cc1ccccc1
benzyl alcohol,12.457,1.5396,0.33,0.56,52.96,0.5625,0.0,OCc1ccccc1
bromobenzene,5.3954,1.5597,0.0,0.09,50.72,0.734449,0.020449000000000005,Brc1ccccc1
bromoethane,9.01,1.4239,0.0,0.12,34.0,0.0,0.11088900000000002,CCBr
bromoform,4.2488,1.6005,0.15,0.06,64.58,0.0,0.5625,BrC(Br)Br
butanal,13.45,1.3843,0.0,0.45,35.06,0.0,0.0,CCCC=O
butanoic acid,2.9931,1.398,0.6,0.45,37.49,0.0,0.0,CCCC(=O)O
butanone,18.246,1.3788,0.0,0.51,34.5,0.0,0.0,CCC(C)=O
butanonitrile,24.291,1.3842,0.0,0.36,38.75,0.0,0.0,CCCC#N
butyl ethanoate,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0,CCCCOC(C)=O
butylamine,4.6178,1.4031,0.16,0.61,33.74,0.0,0.0,CCCCN
n-butylbenzene,2.36,1.4898,0.0,0.15,41.33,0.36,0.0,CCCCc1ccccc1
sec-butylbenzene,2.3446,1.4895,0.0,0.16,40.35,0.36,0.0,CCC(C)c1ccccc1
tert-butylbenzene,2.3447,1.4927,0.0,0.16,39.78,0.36,0.0,CC(C)(C)c1ccccc1
carbon disulfide,2.6105,1.6319,0.0,0.07,45.45,0.0,0.0,S=C=S
carbon tetrachloride,2.228,1.4601,0.0,0.0,38.04,0.0,0.6400000000000001,ClC(Cl)(Cl)Cl
chlorobenzene,5.6968,1.5241,0.0,0.07,47.48,0.734449,0.020449000000000005,Clc1ccccc1
chloroform,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625,ClC(Cl)Cl
α-chlorotoluene,6.7175,1.5391,0.0,0.33,53.04,0.5625,0.015625,ClCc1ccccc1
o-chlorotoluene,4.6331,1.5268,0.0,0.07,47.43,0.5625,0.015625,Cc1ccccc1Cl
m-cresol,12.44,1.5438,0.57,0.34,51.37,0.5625,0.0,Cc1cccc(O)c1
o-cresol,6.76,1.5361,0.52,0.3,53.11,0.5625,0.0,Cc1ccccc1O
cyclohexane,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0,C1CCCCC1
cyclohexanone,15.619000000000002,1.4507,0.0,0.56,49.76,0.0,0.0,O=C1CCCCC1
cyclopentane,1.9608,1.4065,0.0,0.0,31.49,0.0,0.0,C1CCCC1
cyclopentanol,16.989,1.453,0.32,0.56,46.8,0.0,0.0,OC1CCCC1
cyclopentanone,13.58,1.4366,0.0,0.52,47.21,0.0,0.0,O=C1CCCC1
