,ET(30) (kcal mol-1),ETN
47090,38.9,0.253
43320,43.2,0.386
34415,48.6,0.552
37497,47.1,0.506
9112,51.9,0.654
32317,33.9,0.099
17967,42.2,0.355
48035,50.4,0.608
43640,43.2,0.386
2386,55.4,0.762
37398,47.1,0.506
37462,47.1,0.506
25244,45.6,0.46
39833,63.1,1.0
11377,50.7,0.617
42552,43.2,0.386
7574,51.9,0.654
3415,55.4,0.762
27764,48.4,0.546
35311,49.1,0.586
23842,40.7,0.309
42891,43.2,0.386
25176,45.6,0.46
24204,40.7,0.309
16633,42.2,0.355
13868,49.7,0.586
42351,37.5,0.21
10420,50.7,0.617
19876,42.2,0.355
21590,38.1,0.228
21276,38.1,0.228
47969,38.5,0.241
36911,41.3,0.327
3184,55.4,0.762
24755,45.6,0.46
30035,48.4,0.546
21839,38.1,0.228
37842,36.0,0.164
28936,48.4,0.546
4156,55.4,0.762
36146,37.4,0.207
36366,41.3,0.327
30736,48.4,0.546
48453,31.0,0.009
41989,63.1,1.0
14132,49.7,0.586
38952,36.0,0.164
47724,38.5,0.241
34365,48.6,0.552
83,55.4,0.762
30622,48.4,0.546
46650,32.4,0.052
3194,55.4,0.762
31216,48.1,0.537
14822,49.7,0.586
27937,48.4,0.546
40892,63.1,1.0
45386,30.9,0.006
35379,49.1,0.586
37177,47.1,0.506
43071,43.2,0.386
8385,51.9,0.654
23076,38.1,0.228
45664,30.9,0.006
7569,51.9,0.654
17507,42.2,0.355
16369,49.7,0.586
18358,42.2,0.355
32277,33.9,0.099
41092,63.1,1.0
28350,48.4,0.546
230,55.4,0.762
48015,38.5,0.241
1574,55.4,0.762
27346,48.4,0.546
41035,63.1,1.0
44686,56.3,0.79
28112,48.4,0.546
4503,51.9,0.654
20203,38.1,0.228
17726,42.2,0.355
35696,37.4,0.207
27511,48.4,0.546
1275,55.4,0.762
21315,38.1,0.228
1345,55.4,0.762
14061,49.7,0.586
48634,31.0,0.009
35538,37.4,0.207
3913,55.4,0.762
8444,51.9,0.654
42918,43.2,0.386
29376,48.4,0.546
43777,43.2,0.386
1238,55.4,0.762
4595,51.9,0.654
8803,51.9,0.654
41108,63.1,1.0
52995,37.1,0.198
43122,43.2,0.386
31808,39.8,0.281
43276,43.2,0.386
29394,48.4,0.546
39245,63.1,1.0
37688,47.1,0.506
36152,37.4,0.207
43606,43.2,0.386
8435,51.9,0.654
10362,50.7,0.617
17148,42.2,0.355
21937,38.1,0.228
28586,48.4,0.546
12684,50.7,0.617
43141,43.2,0.386
15183,49.7,0.586
18091,42.2,0.355
37824,36.0,0.164
20227,38.1,0.228
15804,49.7,0.586
905,55.4,0.762
40861,63.1,1.0
34395,48.6,0.552
17517,42.2,0.355
37879,36.0,0.164
4906,51.9,0.654
33770,48.6,0.552
24457,45.6,0.46
48840,31.0,0.009
34909,49.1,0.586
51412,41.3,0.327
27292,48.4,0.546
17357,42.2,0.355
3928,55.4,0.762
31932,33.9,0.099
11304,50.7,0.617
13536,49.7,0.586
13783,49.7,0.586
31367,48.1,0.537
28612,48.4,0.546
38911,36.0,0.164
691,55.4,0.762
1585,55.4,0.762
485,55.4,0.762
341,55.4,0.762
35321,49.1,0.586
13810,49.7,0.586
617,55.4,0.762
48901,31.0,0.009
39152,63.1,1.0
48379,31.0,0.009
8918,51.9,0.654
4582,51.9,0.654
5215,51.9,0.654
20028,38.1,0.228
37968,36.0,0.164
1866,55.4,0.762
22859,38.1,0.228
28150,48.4,0.546
3666,55.4,0.762
10464,50.7,0.617
21411,38.1,0.228
38745,36.0,0.164
15863,49.7,0.586
26819,45.6,0.46
36502,41.3,0.327
47880,38.5,0.241
6071,51.9,0.654
53673,31.1,0.012
37958,36.0,0.164
19220,42.2,0.355
9632,51.9,0.654
39306,63.1,1.0
26531,45.6,0.46
34043,48.6,0.552
20555,38.1,0.228
1972,55.4,0.762
17753,42.2,0.355
50068,48.5,0.549
37007,41.3,0.327
40120,63.1,1.0
7160,51.9,0.654
20824,38.1,0.228
28781,48.4,0.546
8907,51.9,0.654
24778,45.6,0.46
39421,63.1,1.0
7321,51.9,0.654
4764,51.9,0.654
13246,50.7,0.617
46514,32.4,0.052
22527,38.1,0.228
17441,42.2,0.355
14886,49.7,0.586
23027,38.1,0.228
1227,55.4,0.762
15490,49.7,0.586
15900,49.7,0.586
20527,38.1,0.228
34254,48.6,0.552
48835,31.0,0.009
27931,48.4,0.546
3557,55.4,0.762
17430,42.2,0.355
15,55.4,0.762
23726,38.1,0.228
25453,45.6,0.46
17981,42.2,0.355
17402,42.2,0.355
22721,38.1,0.228
23889,40.7,0.309
14971,49.7,0.586
17884,42.2,0.355
8974,51.9,0.654
36519,41.3,0.327
37,55.4,0.762
47291,38.9,0.253
39713,63.1,1.0
10160,50.7,0.617
10272,50.7,0.617
33372,33.9,0.099
39480,63.1,1.0
8172,51.9,0.654
40322,63.1,1.0
16591,42.2,0.355
30587,48.4,0.546
27251,48.4,0.546
32066,33.9,0.099
19894,42.2,0.355
11836,50.7,0.617
10430,50.7,0.617
13436,49.7,0.586
39322,63.1,1.0
6826,51.9,0.654
31286,48.1,0.537
39929,63.1,1.0
20510,38.1,0.228
31439,48.1,0.537
8667,51.9,0.654
34233,48.6,0.552
20491,38.1,0.228
31584,39.8,0.281
6059,51.9,0.654
4896,51.9,0.654
32195,33.9,0.099
48090,43.3,0.389
16748,42.2,0.355
34904,49.1,0.586
21665,38.1,0.228
12049,50.7,0.617
10471,50.7,0.617
43266,43.2,0.386
36282,41.3,0.327
14773,49.7,0.586
27901,48.4,0.546
37808,36.0,0.164
11759,50.7,0.617
16843,42.2,0.355
17675,42.2,0.355
42535,43.2,0.386
36888,41.3,0.327
776,55.4,0.762
9414,51.9,0.654
33572,33.9,0.099
47102,38.9,0.253
28926,48.4,0.546
38346,36.0,0.164
30937,48.4,0.546
31178,48.1,0.537
48324,31.1,0.012
14805,49.7,0.586
13887,49.7,0.586
24957,45.6,0.46
12059,50.7,0.617
26180,45.6,0.46
37169,47.1,0.506
52816,33.9,0.099
8558,51.9,0.654
9235,51.9,0.654
28749,48.4,0.546
17375,42.2,0.355
47302,38.9,0.253
25648,45.6,0.46
31633,39.8,0.281
4711,51.9,0.654
20835,38.1,0.228
27471,48.4,0.546
24742,45.6,0.46
29313,48.4,0.546
6346,51.9,0.654
11939,50.7,0.617
9458,51.9,0.654
31011,48.4,0.546
12976,50.7,0.617
23455,38.1,0.228
420,55.4,0.762
43671,43.2,0.386
20038,38.1,0.228
48120,31.1,0.012
41523,63.1,1.0
40501,63.1,1.0
24147,40.7,0.309
42617,43.2,0.386
3576,55.4,0.762
25538,45.6,0.46
34376,48.6,0.552
11492,50.7,0.617
29813,48.4,0.546
35340,49.1,0.586
5031,51.9,0.654
30262,48.4,0.546
4954,51.9,0.654
22959,38.1,0.228
8677,51.9,0.654
8992,51.9,0.654
21470,38.1,0.228
11788,50.7,0.617
26315,45.6,0.46
22099,38.1,0.228
49407,39.1,0.259
31958,33.9,0.099
21726,38.1,0.228
346,55.4,0.762
40402,63.1,1.0
38751,36.0,0.164
28874,48.4,0.546
33960,48.6,0.552
31082,48.1,0.537
8748,51.9,0.654
12407,50.7,0.617
11948,50.7,0.617
47661,38.9,0.253
19670,42.2,0.355
8202,51.9,0.654
4757,51.9,0.654
46753,34.3,0.111
51513,39.3,0.265
34305,48.6,0.552
1083,55.4,0.762
28577,48.4,0.546
37757,36.0,0.164
606,55.4,0.762
9610,51.9,0.654
13664,49.7,0.586
12443,50.7,0.617
43557,43.2,0.386
39278,63.1,1.0
10369,50.7,0.617
22901,38.1,0.228
21973,38.1,0.228
32003,33.9,0.099
38843,36.0,0.164
19979,38.1,0.228
4814,51.9,0.654
41436,63.1,1.0
31064,48.1,0.537
13379,50.7,0.617
12756,50.7,0.617
40795,63.1,1.0
30415,48.4,0.546
47979,38.5,0.241
36540,41.3,0.327
14965,49.7,0.586
16291,49.7,0.586
6160,51.9,0.654
18537,42.2,0.355
12270,50.7,0.617
28775,48.4,0.546
21582,38.1,0.228
20961,38.1,0.228
43739,43.2,0.386
10326,50.7,0.617
377,55.4,0.762
42006,63.1,1.0
41576,63.1,1.0
5664,51.9,0.654
33449,33.9,0.099
39051,63.1,1.0
7366,51.9,0.654
29256,48.4,0.546
28759,48.4,0.546
16608,42.2,0.355
37535,47.1,0.506
33117,33.9,0.099
5301,51.9,0.654
28481,48.4,0.546
23274,38.1,0.228
16328,49.7,0.586
34384,48.6,0.552
47365,38.9,0.253
53896,40.6,0.306
19571,42.2,0.355
25567,45.6,0.46
32238,33.9,0.099
34703,48.6,0.552
43286,43.2,0.386
41718,63.1,1.0
16025,49.7,0.586
10125,50.7,0.617
35795,37.4,0.207
6685,51.9,0.654
20366,38.1,0.228
39218,63.1,1.0
503,55.4,0.762
3481,55.4,0.762
29402,48.4,0.546
23118,38.1,0.228
48739,31.0,0.009
33489,33.9,0.099
37927,36.0,0.164
17479,42.2,0.355
2168,55.4,0.762
4359,55.4,0.762
20949,38.1,0.228
45135,56.3,0.79
18230,42.2,0.355
38008,36.0,0.164
41803,63.1,1.0
24568,45.6,0.46
45453,30.9,0.006
35371,49.1,0.586
13984,49.7,0.586
13102,50.7,0.617
13414,49.7,0.586
36435,41.3,0.327
28682,48.4,0.546
49935,39.1,0.259
4566,51.9,0.654
41551,63.1,1.0
27823,48.4,0.546
2722,55.4,0.762
8739,51.9,0.654
38355,36.0,0.164
52451,48.8,0.559
37057,41.3,0.327
2461,55.4,0.762
16795,42.2,0.355
4602,51.9,0.654
32446,33.9,0.099
22504,38.1,0.228
30043,48.4,0.546
23018,38.1,0.228
1554,55.4,0.762
19405,42.2,0.355
31905,33.9,0.099
4793,51.9,0.654
25517,45.6,0.46
45087,56.3,0.79
10179,50.7,0.617
19911,42.2,0.355
43614,43.2,0.386
43472,43.2,0.386
28513,48.4,0.546
48749,31.0,0.009
33706,48.6,0.552
14523,49.7,0.586
13738,49.7,0.586
7823,51.9,0.654
9778,51.9,0.654
27441,48.4,0.546
32045,33.9,0.099
45654,30.9,0.006
38602,36.0,0.164
24388,45.6,0.46
22491,38.1,0.228
39490,63.1,1.0
23613,38.1,0.228
48422,31.0,0.009
34403,48.6,0.552
7032,51.9,0.654
29079,48.4,0.546
43497,43.2,0.386
14945,49.7,0.586
18527,42.2,0.355
2511,55.4,0.762
24599,45.6,0.46
4261,55.4,0.762
1945,55.4,0.762
1558,55.4,0.762
42225,37.5,0.21
30305,48.4,0.546
49291,40.9,0.315
38286,36.0,0.164
11229,50.7,0.617
43271,43.2,0.386
3424,55.4,0.762
30281,48.4,0.546
28253,48.4,0.546
34100,48.6,0.552
624,55.4,0.762
53662,31.1,0.012
34782,49.1,0.586
25281,45.6,0.46
33786,48.6,0.552
15111,49.7,0.586
42541,43.2,0.386
20547,38.1,0.228
11510,50.7,0.617
27978,48.4,0.546
3799,55.4,0.762
19455,42.2,0.355
9308,51.9,0.654
26682,45.6,0.46
29986,48.4,0.546
19728,42.2,0.355
5712,51.9,0.654
9018,51.9,0.654
10208,50.7,0.617
2665,55.4,0.762
45079,56.3,0.79
5829,51.9,0.654
40898,63.1,1.0
2148,55.4,0.762
29137,48.4,0.546
7698,51.9,0.654
13848,49.7,0.586
10730,50.7,0.617
37354,47.1,0.506
36548,41.3,0.327
16430,49.7,0.586
38336,36.0,0.164
47216,38.9,0.253
6736,51.9,0.654
13838,49.7,0.586
4145,55.4,0.762
21128,38.1,0.228
34914,49.1,0.586
42077,63.1,1.0
38789,36.0,0.164
47567,38.9,0.253
36231,37.4,0.207
43080,43.2,0.386
51311,41.3,0.327
24368,45.6,0.46
26220,45.6,0.46
48765,31.0,0.009
40466,63.1,1.0
43631,43.2,0.386
20195,38.1,0.228
37670,47.1,0.506
8359,51.9,0.654
7885,51.9,0.654
35527,37.4,0.207
35831,37.4,0.207
15823,49.7,0.586
24194,40.7,0.309
20451,38.1,0.228
33502,33.9,0.099
34582,48.6,0.552
15785,49.7,0.586
5205,51.9,0.654
22831,38.1,0.228
3232,55.4,0.762
20246,38.1,0.228
14269,49.7,0.586
36415,41.3,0.327
32411,33.9,0.099
37801,36.0,0.164
12424,50.7,0.617
23094,38.1,0.228
36962,41.3,0.327
47617,38.9,0.253
33860,48.6,0.552
45867,30.9,0.006
14744,49.7,0.586
38195,36.0,0.164
28958,48.4,0.546
39089,63.1,1.0
23719,38.1,0.228
27685,48.4,0.546
1661,55.4,0.762
3509,55.4,0.762
4887,51.9,0.654
28980,48.4,0.546
9891,51.9,0.654
18106,42.2,0.355
21164,38.1,0.228
33430,33.9,0.099
39352,63.1,1.0
22138,38.1,0.228
19679,42.2,0.355
13768,49.7,0.586
26162,45.6,0.46
4051,55.4,0.762
41832,63.1,1.0
7621,51.9,0.654
19811,42.2,0.355
5993,51.9,0.654
16460,49.7,0.586
35867,37.4,0.207
20462,38.1,0.228
4945,51.9,0.654
23578,38.1,0.228
24658,45.6,0.46
22657,38.1,0.228
13369,50.7,0.617
41292,63.1,1.0
32977,33.9,0.099
28382,48.4,0.546
16534,42.2,0.355
9878,51.9,0.654
43442,43.2,0.386
43043,43.2,0.386
39460,63.1,1.0
384,55.4,0.762
23734,38.1,0.228
12740,50.7,0.617
13508,49.7,0.586
21175,38.1,0.228
14726,49.7,0.586
43958,43.2,0.386
6179,51.9,0.654
24270,45.6,0.46
13324,50.7,0.617
41263,63.1,1.0
47180,38.9,0.253
42477,43.2,0.386
4749,51.9,0.654
35747,37.4,0.207
1399,55.4,0.762
10089,50.7,0.617
25020,45.6,0.46
4294,55.4,0.762
247,55.4,0.762
15131,49.7,0.586
42083,63.1,1.0
4132,55.4,0.762
272,55.4,0.762
13893,49.7,0.586
30421,48.4,0.546
26835,45.6,0.46
156,55.4,0.762
26297,45.6,0.46
39570,63.1,1.0
39501,63.1,1.0
22969,38.1,0.228
43432,43.2,0.386
29940,48.4,0.546
34285,48.6,0.552
27495,48.4,0.546
33739,48.6,0.552
38218,36.0,0.164
3224,55.4,0.762
4856,51.9,0.654
3697,55.4,0.762
27803,48.4,0.546
40835,63.1,1.0
1092,55.4,0.762
42607,43.2,0.386
25042,45.6,0.46
8339,51.9,0.654
42442,43.2,0.386
3568,55.4,0.762
4275,55.4,0.762
38099,36.0,0.164
3077,55.4,0.762
26355,45.6,0.46
48533,31.0,0.009
19479,42.2,0.355
37988,36.0,0.164
40479,63.1,1.0
9055,51.9,0.654
1679,55.4,0.762
28845,48.4,0.546
9506,51.9,0.654
19360,42.2,0.355
23377,38.1,0.228
43574,43.2,0.386
45527,30.9,0.006
42980,43.2,0.386
16076,49.7,0.586
48546,31.0,0.009
29862,48.4,0.546
27300,48.4,0.546
35902,37.4,0.207
47370,38.9,0.253
18676,42.2,0.355
2502,55.4,0.762
25196,45.6,0.46
34930,49.1,0.586
4809,51.9,0.654
513,55.4,0.762
34443,48.6,0.552
47001,38.9,0.253
38107,36.0,0.164
3490,55.4,0.762
15283,49.7,0.586
49788,39.1,0.259
37250,47.1,0.506
118,55.4,0.762
30095,48.4,0.546
33925,48.6,0.552
43710,43.2,0.386
35262,49.1,0.586
17085,42.2,0.355
9067,51.9,0.654
32479,33.9,0.099
17316,42.2,0.355
5646,51.9,0.654
43306,43.2,0.386
27588,48.4,0.546
12338,50.7,0.617
18815,42.2,0.355
20351,38.1,0.228
35330,49.1,0.586
18471,42.2,0.355
10055,50.7,0.617
21386,38.1,0.228
7613,51.9,0.654
28973,48.4,0.546
19330,42.2,0.355
28314,48.4,0.546
36242,41.3,0.327
31896,33.9,0.099
49578,39.1,0.259
16417,49.7,0.586
14218,49.7,0.586
44842,56.3,0.79
34897,49.1,0.586
39681,63.1,1.0
4773,51.9,0.654
27608,48.4,0.546
3611,55.4,0.762
28606,48.4,0.546
6297,51.9,0.654
41401,63.1,1.0
15028,49.7,0.586
30186,48.4,0.546
39059,63.1,1.0
45773,30.9,0.006
9028,51.9,0.654
41704,63.1,1.0
47459,38.9,0.253
28491,48.4,0.546
32534,33.9,0.099
14718,49.7,0.586
11337,50.7,0.617
13627,49.7,0.586
17990,42.2,0.355
20426,38.1,0.228
4314,55.4,0.762
10654,50.7,0.617
41732,63.1,1.0
17588,42.2,0.355
11457,50.7,0.617
16653,42.2,0.355
4609,51.9,0.654
17201,42.2,0.355
31073,48.1,0.537
47410,38.9,0.253
8257,51.9,0.654
36659,41.3,0.327
33970,48.6,0.552
7564,51.9,0.654
24836,45.6,0.46
35349,49.1,0.586
16686,42.2,0.355
30216,48.4,0.546
26099,45.6,0.46
48709,31.0,0.009
3037,55.4,0.762
20010,38.1,0.228
11669,50.7,0.617
9541,51.9,0.654
10353,50.7,0.617
11028,50.7,0.617
2763,55.4,0.762
37319,47.1,0.506
10406,50.7,0.617
14813,49.7,0.586
31389,48.1,0.537
20721,38.1,0.228
21913,38.1,0.228
3388,55.4,0.762
11651,50.7,0.617
14932,49.7,0.586
35208,49.1,0.586
19109,42.2,0.355
33631,48.6,0.552
42734,43.2,0.386
32118,33.9,0.099
37131,47.1,0.506
43597,43.2,0.386
16770,42.2,0.355
2219,55.4,0.762
30108,48.4,0.546
4976,51.9,0.654
12512,50.7,0.617
17384,42.2,0.355
5039,51.9,0.654
4444,51.9,0.654
28537,48.4,0.546
9319,51.9,0.654
5510,51.9,0.654
13274,50.7,0.617
15882,49.7,0.586
3138,55.4,0.762
4556,51.9,0.654
34427,48.6,0.552
26968,45.6,0.46
16243,49.7,0.586
41621,63.1,1.0
33841,48.6,0.552
23883,40.7,0.309
17495,42.2,0.355
325,55.4,0.762
21289,38.1,0.228
39203,63.1,1.0
42207,37.5,0.21
24710,45.6,0.46
28994,48.4,0.546
45397,30.9,0.006
11248,50.7,0.617
11112,50.7,0.617
16661,42.2,0.355
8279,51.9,0.654
24042,40.7,0.309
41321,63.1,1.0
10281,50.7,0.617
37215,47.1,0.506
18145,42.2,0.355
49852,39.1,0.259
24130,40.7,0.309
16125,49.7,0.586
34834,49.1,0.586
39369,63.1,1.0
550,55.4,0.762
20704,38.1,0.228
36331,41.3,0.327
12878,50.7,0.617
8454,51.9,0.654
4668,51.9,0.654
13463,49.7,0.586
23109,38.1,0.228
16184,49.7,0.586
45743,30.9,0.006
42409,37.5,0.21
39960,63.1,1.0
48719,31.0,0.009
21108,38.1,0.228
9089,51.9,0.654
42451,43.2,0.386
24556,45.6,0.46
45444,30.9,0.006
43507,43.2,0.386
39640,63.1,1.0
29959,48.4,0.546
3604,55.4,0.762
4984,51.9,0.654
24360,45.6,0.46
16314,49.7,0.586
27127,48.4,0.546
23332,38.1,0.228
8731,51.9,0.654
47742,38.5,0.241
32203,33.9,0.099
33797,48.6,0.552
24475,45.6,0.46
17706,42.2,0.355
23208,38.1,0.228
42741,43.2,0.386
27965,48.4,0.546
41696,63.1,1.0
17064,42.2,0.355
20456,38.1,0.228
41531,63.1,1.0
11818,50.7,0.617
46746,34.3,0.111
45418,30.9,0.006
7236,51.9,0.654
37641,47.1,0.506
40912,63.1,1.0
34091,48.6,0.552
33579,33.9,0.099
13482,49.7,0.586
29568,48.4,0.546
48759,31.0,0.009
21560,38.1,0.228
20215,38.1,0.228
4060,55.4,0.762
31968,33.9,0.099
6693,51.9,0.654
1445,55.4,0.762
4728,51.9,0.654
19654,42.2,0.355
24917,45.6,0.46
26364,45.6,0.46
41076,63.1,1.0
38273,36.0,0.164
5954,51.9,0.654
20904,38.1,0.228
30796,48.4,0.546
37292,47.1,0.506
44646,56.3,0.79
23898,40.7,0.309
51289,41.3,0.327
5266,51.9,0.654
30149,48.4,0.546
14571,49.7,0.586
23494,38.1,0.228
27241,48.4,0.546
16622,42.2,0.355
36600,41.3,0.327
5845,51.9,0.654
27330,48.4,0.546
43462,43.2,0.386
2823,55.4,0.762
29443,48.4,0.546
12787,50.7,0.617
24897,45.6,0.46
24520,45.6,0.46
21004,38.1,0.228
2538,55.4,0.762
6194,51.9,0.654
36255,41.3,0.327
28343,48.4,0.546
42298,37.5,0.21
4901,51.9,0.654
10819,50.7,0.617
4538,51.9,0.654
27417,48.4,0.546
49311,40.9,0.315
