,ET(30) (kcal mol-1),ETN
27911,48.4,0.546
19829,42.2,0.355
40709,63.1,1.0
34080,48.6,0.552
30669,48.4,0.546
31796,39.8,0.281
148,55.4,0.762
16735,42.2,0.355
11091,50.7,0.617
42254,37.5,0.21
31923,33.9,0.099
20112,38.1,0.228
713,55.4,0.762
13882,49.7,0.586
21489,38.1,0.228
23067,38.1,0.228
16779,42.2,0.355
9356,51.9,0.654
40180,63.1,1.0
43832,43.2,0.386
47189,38.9,0.253
14464,49.7,0.586
14398,49.7,0.586
16252,49.7,0.586
23343,38.1,0.228
34140,48.6,0.552
45325,30.9,0.006
2979,55.4,0.762
29882,48.4,0.546
40051,63.1,1.0
11546,50.7,0.617
31325,48.1,0.537
425,55.4,0.762
1490,55.4,0.762
26480,45.6,0.46
49188,40.9,0.315
11006,50.7,0.617
21299,38.1,0.228
24352,45.6,0.46
20588,38.1,0.228
3096,55.4,0.762
38057,36.0,0.164
14330,49.7,0.586
49526,39.1,0.259
24431,45.6,0.46
31162,48.1,0.537
42939,43.2,0.386
29832,48.4,0.546
25388,45.6,0.46
31140,48.1,0.537
27073,48.4,0.546
47679,38.5,0.241
50038,48.5,0.549
42850,43.2,0.386
4548,51.9,0.654
45831,30.9,0.006
985,55.4,0.762
42199,37.5,0.21
6102,51.9,0.654
21541,38.1,0.228
11148,50.7,0.617
37767,36.0,0.164
39223,63.1,1.0
35651,37.4,0.207
33553,33.9,0.099
20120,38.1,0.228
6380,51.9,0.654
28629,48.4,0.546
24045,40.7,0.309
17276,42.2,0.355
50008,39.1,0.259
3876,55.4,0.762
42485,43.2,0.386
16227,49.7,0.586
13711,49.7,0.586
30140,48.4,0.546
16695,42.2,0.355
26662,45.6,0.46
5799,51.9,0.654
14630,49.7,0.586
15413,49.7,0.586
33824,48.6,0.552
19762,42.2,0.355
43329,43.2,0.386
15121,49.7,0.586
31492,48.1,0.537
43517,43.2,0.386
26959,45.6,0.46
45502,30.9,0.006
44832,56.3,0.79
41560,63.1,1.0
48371,31.0,0.009
8250,51.9,0.654
52838,33.9,0.099
39067,63.1,1.0
34738,48.6,0.552
37963,36.0,0.164
703,55.4,0.762
30466,48.4,0.546
38737,36.0,0.164
21522,38.1,0.228
16487,42.2,0.355
39236,63.1,1.0
51395,41.3,0.327
3314,55.4,0.762
30224,48.4,0.546
43281,43.2,0.386
25124,45.6,0.46
24700,45.6,0.46
37650,47.1,0.506
13921,49.7,0.586
33916,48.6,0.552
37207,47.1,0.506
40873,63.1,1.0
4526,51.9,0.654
4719,51.9,0.654
14670,49.7,0.586
13720,49.7,0.586
26132,45.6,0.46
5126,51.9,0.654
30115,48.4,0.546
47537,38.9,0.253
34036,48.6,0.552
12550,50.7,0.617
48095,43.3,0.389
8522,51.9,0.654
24252,45.6,0.46
4406,55.4,0.762
6665,51.9,0.654
13473,49.7,0.586
11556,50.7,0.617
31101,48.1,0.537
33891,48.6,0.552
34053,48.6,0.552
11101,50.7,0.617
14560,49.7,0.586
23863,40.7,0.309
21100,38.1,0.228
31374,48.1,0.537
49198,40.9,0.315
49780,39.1,0.259
27337,48.4,0.546
41950,63.1,1.0
667,55.4,0.762
39163,63.1,1.0
4826,51.9,0.654
42726,43.2,0.386
35022,49.1,0.586
16853,42.2,0.355
20780,38.1,0.228
12626,50.7,0.617
5026,51.9,0.654
26897,45.6,0.46
38713,36.0,0.164
45196,30.9,0.006
45040,56.3,0.79
38867,36.0,0.164
8967,51.9,0.654
35587,37.4,0.207
5672,51.9,0.654
46773,34.3,0.111
9987,50.7,0.617
35478,49.1,0.586
20857,38.1,0.228
19915,42.2,0.355
37856,36.0,0.164
14640,49.7,0.586
39541,63.1,1.0
13496,49.7,0.586
5119,51.9,0.654
7579,51.9,0.654
3442,55.4,0.762
20285,38.1,0.228
33907,48.6,0.552
41541,63.1,1.0
14377,49.7,0.586
5169,51.9,0.654
47824,38.5,0.241
33459,33.9,0.099
36361,41.3,0.327
20359,38.1,0.228
16158,49.7,0.586
